Group,GEOID,ALAND20,AWATER20,Lat,Long,Shape_Leng,Shape_Length,Shape_Area
448,53033032207,4627754,1325468,47.5834873,-122.0602972,47159.06027,47159.06027,64077849.08
449,53033032211,2975309,0,47.5798212,-122.0193634,30696.97611,30696.97611,32024895.04
450,53033032213,4042487,286842,47.5852426,-121.9861175,32655.8054,32655.8054,46598808.78
451,53033032215,15951833,10175,47.6066963,-121.9869787,72028.50867,72028.50867,171806148.7
452,53033032216,4324748,0,47.6036467,-122.0467685,30321.21264,30321.21264,46549296.24
453,53033032217,5744875,5098073,47.5968734,-122.0720001,55481.56673,55481.56673,116707956
454,53033032218,4381829,28938,47.5713149,-122.038565,42967.86316,42967.86316,47475688.88
455,53033032219,6523248,961466,47.5558944,-122.0495856,47618.94607,47618.94607,80562696.22
456,53033032220,6091125,0,47.5468306,-122.0152219,35063.2768,35063.2768,65562834.27
457,53033032221,35573754,7767,47.5496906,-121.9549377,95466.07309,95466.07309,382986376.1
458,53033032222,1281699,0,47.5715386,-121.9981579,17767.17888,17767.17888,13795677.71
459,53033032223,2090794,42596,47.5645237,-122.0151668,22098.53451,22098.53451,22963003.73
460,53033032224,3018668,0,47.5948656,-122.0221409,23164.60389,23164.60389,32491452.74
461,53033032225,3809641,44579,47.6102663,-122.0264751,28255.45309,28255.45309,41484685.94
462,53033032307,11589621,234335,47.7541282,-122.1018928,55734.82737,55734.82737,127261336.6
463,53033032311,23710057,92770,47.7515039,-122.0387481,73151.92846,73151.92846,256190150.8
464,53033032313,13092583,415255,47.6704667,-122.0889458,55456.56508,55456.56508,145388524.9
465,53033032315,44513525,1359055,47.6642529,-121.976789,120416.8265,120416.8265,493739649.4
466,53033032316,6235320,2556870,47.6392224,-122.071245,53692.7598,53692.7598,94633470.46
467,53033032317,4393664,0,47.6276165,-122.047985,32195.10734,32195.10734,47290713.79
468,53033032318,7326618,28260,47.6372150,-122.0394458,47071.71541,47071.71541,79163258.34
469,53033032319,6867974,0,47.7595594,-122.1476069,48009.79129,48009.79129,73919955.5
470,53033032320,9661905,40422,47.7564769,-122.1244452,55924.35441,55924.35441,104426247.9
471,53033032321,12781170,0,47.7180124,-122.1262416,57289.17926,57289.17926,137565432.1
472,53033032322,4628580,0,47.7262356,-122.0977,31966.65664,31966.65664,49817882.1
473,53033032323,3291835,0,47.6986018,-122.1117667,26674.5685,26674.5685,35430609.65
