OBJECTID,GEO_ID_TRT,TRACT_LBL,E19019181,M19019181,E19019182,M19019182,E19019183,M19019183,E19019184,M19019184,E19019185,M19019185,E19019186,M19019186,E19019187,M19019187,E19019188,M19019188
136,53033020401,Tract 020401,71033,2895,36964,14132,71882,5334,98750,70224,110547,41091,110781,61905,,,,
137,53033020402,Tract 020402,93811,7331,45429,25195,109500,13982,106696,40537,132917,32133,,,,,,
138,53033020500,Tract 020500,71607,15602,27422,7324,91548,12689,110664,29761,108565,28102,,,119732,91360,,
139,53033020600,Tract 020600,86750,22268,50947,3648,97083,31314,145385,43867,130439,3801,112083,22285,139167,33864,,
140,53033020700,Tract 020700,74643,17390,49628,7371,81771,28329,98750,47796,118438,56920,149018,42638,,,,
141,53033020800,Tract 020800,107544,10578,52917,28262,115217,16747,133906,26662,175417,9570,185278,48359,,,,
142,53033020900,Tract 020900,93036,19884,45469,28034,93690,24087,105500,26593,160385,35289,,,133047,4851,,
143,53033021000,Tract 021000,90806,14162,46094,13286,96500,10660,100368,27376,117560,39983,112101,29439,,,,
144,53033021100,Tract 021100,81207,5036,34653,15414,84800,25489,103875,23355,95063,22803,89038,31530,,,,
145,53033021300,Tract 021300,80227,9029,41700,9815,83688,3334,122031,65901,106625,60997,99551,81846,,,,
146,53033021400,Tract 021400,113438,14681,43750,24326,142639,44486,117679,16866,136528,61012,100000,63080,250001,,,
147,53033021500,Tract 021500,125481,10825,61250,20831,127865,6709,141375,56730,159545,52334,205938,160595,250001,,,
148,53033021600,Tract 021600,125339,11445,42734,10366,135469,15017,126406,3545,159861,43533,,,,,,
149,53033021700,Tract 021700,81796,8203,43750,10759,92238,41409,138831,50215,111949,16319,,,,,,
150,53033021802,Tract 021802,93750,16841,38889,22279,104875,30705,115670,20317,150338,37795,137905,127696,,,,
151,53033021803,Tract 021803,84362,11485,50300,17045,80673,18229,123333,22180,136172,37577,178125,53267,,,,
152,53033021804,Tract 021804,83125,21251,35139,16185,89554,38302,142794,19777,129141,21605,,,106198,21729,,
153,53033021903,Tract 021903,95313,13593,45833,13960,102656,25679,106667,56118,152847,64081,153964,3672,,,136991,119405
154,53033021904,Tract 021904,99051,6860,53000,16817,101094,8922,101528,20449,129375,32503,128250,29980,250001,,,
155,53033021905,Tract 021905,92333,13130,66250,24812,97560,19828,104702,27756,140625,38560,,,99375,20417,,
156,53033021906,Tract 021906,97670,19165,52731,16989,110208,23141,103542,79448,125536,54347,84773,38317,,,104330,85858
157,53033022001,Tract 022001,109943,21315,53713,13066,109844,40225,154338,63687,143750,25618,,,73558,45417,,
158,53033022003,Tract 022003,111497,6688,57587,13154,110861,10537,124028,10180,143063,22985,103393,52621,,,,
159,53033022005,Tract 022005,94390,17284,70758,13527,109702,26559,94342,32851,126313,21294,131920,43114,,,,
160,53033022006,Tract 022006,90270,14740,58382,15535,91985,30850,108063,33798,174732,104574,179375,178630,,,,
161,53033022101,Tract 022101,119653,14429,46528,27341,116938,25176,153333,14586,140156,22770,145909,56611,,,,
162,53033022102,Tract 022102,126269,15144,64833,11590,101742,22796,147109,16613,189514,32805,180114,39980,116125,115734,,
163,53033022201,Tract 022201,100069,9838,51625,18987,87813,15532,116750,24604,127381,35402,168333,57099,250001,,,
164,53033022202,Tract 022202,106391,14640,57574,19450,122682,17805,132344,10610,118438,41952,148021,77700,,,,
165,53033022203,Tract 022203,135200,20032,49063,34976,122391,14999,199196,87078,222974,30074,185972,104096,,,,
166,53033022300,Tract 022300,166786,27502,62917,33787,109531,47286,214545,13831,234286,77409,223125,171766,,,,
167,53033022400,Tract 022400,118382,16979,50263,25257,105424,24260,206100,43079,250001,,227438,25854,106364,86828,,
168,53033022500,Tract 022500,125600,12916,68045,21417,146331,8154,109961,77523,250001,,250001,,,,,
169,53033022603,Tract 022603,99696,30108,32063,14882,117432,10277,140268,74317,132007,35971,194821,96261,,,,
170,53033022604,Tract 022604,127750,10531,84097,18818,117566,20227,185375,38521,152188,32748,113889,92061,,,,
171,53033022605,Tract 022605,103112,13264,71667,23431,105575,9810,112574,50633,71438,63395,,,163281,8230,,
172,53033022606,Tract 022606,110625,15581,62365,15767,116685,52868,168333,39496,122500,112186,138750,33151,,,,
173,53033022701,Tract 022701,134665,8262,78125,16383,156534,14530,180417,42597,250001,,250001,,,,,
174,53033022702,Tract 022702,143920,22853,53625,30433,157150,16574,240313,60343,201146,116808,209479,158903,,,,
175,53033022703,Tract 022703,127708,17639,69583,34559,116500,30138,187750,63735,165083,32810,213333,70927,,,,
176,53033022801,Tract 022801,100903,14233,63799,20217,122606,37287,109375,32112,204474,149449,250001,,,,,
177,53033022802,Tract 022802,128088,9668,85804,35425,118650,22653,142407,22767,210750,33396,153194,52344,250001,,,
178,53033022803,Tract 022803,136250,26195,74239,61333,144904,20985,142188,47712,139865,73965,172325,119535,,,,
179,53033022901,Tract 022901,145221,34219,72750,53142,129028,36266,151477,76204,135536,89649,250001,,,,,
180,53033022902,Tract 022902,163032,24219,90694,47810,152147,37764,139118,64512,212292,36167,,,186419,82537,,
181,53033023000,Tract 023000,135185,13680,62222,19401,116563,30677,140724,19263,186786,34766,173750,30411,196563,118203,,
182,53033023100,Tract 023100,119567,15186,66250,41985,111023,34502,149327,9242,127353,67629,146000,30351,,,,
183,53033023201,Tract 023201,97241,12160,50449,16919,85486,31024,125541,44781,161071,105598,215255,211561,,,,
184,53033023202,Tract 023202,58846,9479,33990,6893,76563,20324,81518,38951,65071,34117,93750,92474,,,,
185,53033023300,Tract 023300,98805,11128,,,86100,40867,99578,10954,180400,47827,81103,47216,,,,
186,53033023401,Tract 023401,84583,11609,56944,39812,77125,36800,86719,38362,137619,29691,130682,19373,,,,
187,53033023403,Tract 023403,117917,14302,50921,16132,99934,26600,191875,60587,167500,56615,176429,60668,209018,90013,,
188,53033023404,Tract 023404,152750,11955,48438,32091,148409,41907,156429,32675,192847,28465,250001,,,,,
189,53033023500,Tract 023500,127200,15595,71100,18370,118906,18195,169167,36951,153889,27815,,,,,,
190,53033023601,Tract 023601,106000,15154,47120,10459,116607,22892,132639,27653,120417,19700,,,192734,24304,,
191,53033023603,Tract 023603,102580,15882,75215,11349,91111,34983,99345,33305,123482,41824,250001,,,,,
192,53033023604,Tract 023604,72942,15007,50792,8096,73950,24628,110888,28977,53766,53347,218594,121323,,,,
193,53033023700,Tract 023700,121250,15354,60750,15503,118583,33827,144886,25743,196932,68774,250001,,,,250001,
194,53033023801,Tract 023801,103875,21794,72639,26198,100357,25689,111484,53722,208750,101490,,,,,,
195,53033023803,Tract 023803,107927,12070,77500,19977,133750,46703,189638,156836,213819,62510,,,,,,
196,53033023804,Tract 023804,115343,14034,90510,12144,160625,25351,108050,39784,223897,176268,,,,,,
197,53033023900,Tract 023900,163864,27845,89514,33832,163409,74903,166827,59654,232955,29440,200156,89814,144038,88790,,
198,53033024000,Tract 024000,140026,14641,67158,38185,171830,24835,202375,72067,212917,123314,195489,98520,250001,,,
199,53033024100,Tract 024100,222500,26036,94375,34189,193125,23663,206250,46906,250001,,250001,,250001,,,
200,53033024200,Tract 024200,196250,39178,41652,24185,166563,54296,250001,,250001,,250001,,,,,
201,53033024300,Tract 024300,111950,19613,49914,11815,127153,21037,187153,63952,231250,33953,250001,,,,,
202,53033024400,Tract 024400,96563,12057,55694,18569,113889,18823,85208,29656,250001,,209250,93098,,,,
203,53033024500,Tract 024500,202827,25841,94097,16011,129853,32692,226875,42029,250001,,250001,,,,,
204,53033024601,Tract 024601,203313,43058,,,221094,49629,125982,43411,250001,,247500,85308,,,,
205,53033024602,Tract 024602,216488,26502,106591,28930,191000,57972,197875,81953,250001,,250001,,,,,
206,53033024701,Tract 024701,91938,18300,46719,22539,89150,16871,117946,37791,123583,42086,139028,48618,,,,
207,53033024702,Tract 024702,122647,22138,62521,4946,124219,32690,161250,80689,165357,48490,136111,85088,,,,
208,53033024800,Tract 024800,96471,13705,63405,22160,140446,34367,98150,57175,103347,28069,125357,46326,,,,
209,53033024901,Tract 024901,147450,22030,59531,34471,123654,15386,123438,8793,226719,53961,159531,70747,224500,101605,,
210,53033024902,Tract 024902,158909,10182,68500,33460,105625,65195,180391,31352,167798,31678,213839,14989,137250,102400,,
211,53033024903,Tract 024903,170119,19516,80104,73358,161278,32905,170547,22711,228618,100217,209000,16727,250001,,,
212,53033025001,Tract 025001,122063,15339,73224,27822,105833,32140,163750,42381,183375,45834,111250,24109,130972,49263,,
213,53033025003,Tract 025003,152560,29014,63578,7372,143542,42869,139464,106242,169356,80089,191042,47783,,,,
214,53033025005,Tract 025005,120231,14514,68705,11188,121875,18879,157727,50827,221188,11884,250001,,236250,130114,,
215,53033025006,Tract 025006,151820,28683,83333,30051,135750,45198,215163,58298,189254,26891,211250,164625,,,,
216,53033025101,Tract 025101,87448,13946,48839,16292,99556,14252,85335,44587,134779,84167,,,,,,
217,53033025102,Tract 025102,100069,14160,55000,46215,74243,14618,122500,41500,144861,32198,104625,72644,199539,79454,,
218,53033025200,Tract 025200,97250,17313,40072,7926,120347,10065,93596,21339,126339,51866,129625,29415,186343,124063,,
219,53033025301,Tract 025301,81216,11065,65417,15137,88750,17132,104864,14939,76307,73239,101944,69167,,,,
220,53033025302,Tract 025302,47755,10532,33839,17225,63207,13162,,,45856,11487,,,,,,
221,53033025400,Tract 025400,59952,7440,43000,15717,76658,14939,57321,26566,67533,38182,75764,24064,119766,31245,,
222,53033025500,Tract 025500,66433,12063,40962,14568,66667,26005,76125,33452,110107,46656,105531,15972,73083,35218,57917,2496
223,53033025601,Tract 025601,72500,8247,37891,5715,71667,9900,146875,89165,96607,17531,,,59313,37758,,
